exec ${PAGER:-/usr/bin/less} "$0" || exit 1
Executing tests from //examples:Circle
-----------------------------------------------------------------------------
robot 0,robot 1,robot 2,robot 3
2,-8.74228e-08,-2,2.38498e-08
0,2,-1.74846e-07,-2
1.9335,0.00329587,-1.9335,-0.00329593
0.00329595,1.9335,0.00329578,-1.9335
1.8671,0.00969479,-1.86718,-0.0059829
0.00177124,1.86904,0.00999198,-1.87928
1.80985,0.0155587,-1.80082,-0.0146508
-0.00766694,1.80505,0.0159565,-1.81345
1.74787,0.0213436,-1.73585,-0.0190292
-0.0130112,1.74113,0.0201744,-1.74842
1.68491,0.0271284,-1.67087,-0.0224372
-0.0175116,1.67721,0.0243924,-1.68425
1.62195,0.0329132,-1.6059,-0.0258452
-0.0220119,1.61328,0.0286103,-1.62007
1.55899,0.038698,-1.54092,-0.0292532
-0.0265122,1.54936,0.0328283,-1.5559
1.49603,0.0444828,-1.47594,-0.0326612
-0.0310126,1.48544,0.0370462,-1.49172
1.43308,0.0502676,-1.41097,-0.0360692
-0.0355129,1.42152,0.0412641,-1.42755
1.37012,0.0560524,-1.34599,-0.0394773
-0.0400133,1.35759,0.0454821,-1.36337
1.30716,0.0618372,-1.28102,-0.0428853
-0.0445136,1.29367,0.0497,-1.2992
1.2442,0.0676219,-1.21604,-0.0462933
-0.049014,1.22975,0.0539179,-1.23502
1.18124,0.0734067,-1.15107,-0.0497013
-0.0535143,1.16583,0.0581358,-1.17085
1.11828,0.0791915,-1.08609,-0.0531093
-0.0580147,1.1019,0.0623538,-1.10667
1.05532,0.0849763,-1.02112,-0.0565173
-0.0625151,1.03798,0.0665717,-1.0425
0.992366,0.0907611,-0.95614,-0.0599253
-0.0670154,0.974058,0.0707896,-0.978321
0.929407,0.0965459,-0.891165,-0.0633334
-0.0715158,0.910136,0.0750076,-0.914146
0.866449,0.102331,-0.826189,-0.0667414
-0.0760161,0.846213,0.0792255,-0.84997
0.80349,0.108115,-0.761214,-0.0701494
-0.0805165,0.78229,0.0834435,-0.785795
0.740532,0.1139,-0.696238,-0.0735574
-0.0850168,0.718368,0.0876614,-0.72162
0.677573,0.119685,-0.631263,-0.0769654
-0.0895172,0.654445,0.0918794,-0.657445
0.614615,0.12547,-0.566287,-0.0803735
-0.0940175,0.590523,0.0960973,-0.59327
0.551656,0.131255,-0.501312,-0.0837815
-0.0985179,0.5266,0.100315,-0.529094
0.488697,0.137039,-0.436336,-0.0871895
-0.103018,0.462677,0.104533,-0.464919
0.425739,0.142824,-0.371361,-0.0905976
-0.107519,0.398755,0.108751,-0.400744
0.36278,0.148609,-0.306385,-0.0940056
-0.112019,0.334832,0.112969,-0.336569
0.299822,0.154394,-0.24141,-0.0974136
-0.116519,0.27091,0.117187,-0.272394
0.236863,0.160178,-0.176434,-0.100822
-0.12102,0.206987,0.121405,-0.208218
0.173905,0.165963,-0.111459,-0.10423
-0.12552,0.143065,0.125623,-0.144043
0.110946,0.171748,-0.0464831,-0.107638
-0.13002,0.0791421,0.129841,-0.0798681
0.0479877,0.177533,0.0184925,-0.111046
-0.134521,0.0152195,0.134059,-0.0156929
-0.0149483,0.183295,0.0834672,-0.114453
-0.138995,-0.0487291,0.138276,0.0484832
-0.0814521,0.17706,0.149961,-0.11055
-0.134338,-0.115104,0.133478,0.115035
-0.147956,0.170825,0.216455,-0.106647
-0.129682,-0.181478,0.128681,0.181588
-0.21446,0.16459,0.282949,-0.102744
-0.125025,-0.247853,0.123884,0.24814
-0.280964,0.158355,0.349443,-0.0988404
-0.120368,-0.314227,0.119086,0.314692
-0.347467,0.15212,0.415936,-0.0949372
-0.115712,-0.380601,0.114289,0.381245
-0.413971,0.145885,0.48243,-0.091034
-0.111055,-0.446976,0.109491,0.447797
-0.480475,0.13965,0.548924,-0.0871308
-0.106398,-0.51335,0.104694,0.514349
-0.546979,0.133415,0.615418,-0.0832277
-0.101742,-0.579725,0.0998963,0.580902
-0.613483,0.12718,0.681912,-0.0793245
-0.097085,-0.646099,0.0950988,0.647454
-0.679987,0.120945,0.748406,-0.0754213
-0.0924284,-0.712474,0.0903013,0.714006
-0.74649,0.11471,0.814899,-0.0715181
-0.0877717,-0.778848,0.0855039,0.780558
-0.812994,0.108475,0.881393,-0.067615
-0.0831151,-0.845223,0.0807064,0.847111
-0.879498,0.10224,0.947887,-0.0637118
-0.0784584,-0.911597,0.075909,0.913663
-0.946002,0.0960054,1.01438,-0.0598086
-0.0738018,-0.977972,0.0711115,0.980215
-1.01251,0.0897704,1.08087,-0.0559054
-0.0691451,-1.04435,0.0663141,1.04677
-1.07901,0.0835355,1.14737,-0.0520022
-0.0644885,-1.11072,0.0615166,1.11332
-1.14551,0.0773005,1.21386,-0.0480991
-0.0598318,-1.1771,0.0567191,1.17987
-1.21202,0.0710656,1.28036,-0.0441959
-0.0551752,-1.24347,0.0519217,1.24642
-1.27852,0.0648306,1.34685,-0.0402927
-0.0505185,-1.30984,0.0471242,1.31298
-1.34503,0.0585957,1.41334,-0.0363895
-0.0458619,-1.37622,0.0423268,1.37953
-1.41153,0.0523607,1.47984,-0.0324864
-0.0412052,-1.44259,0.0375293,1.44608
-1.47803,0.0461258,1.54633,-0.0285832
-0.0365486,-1.50897,0.0327319,1.51263
-1.54454,0.0398908,1.61283,-0.02468
-0.0318919,-1.57534,0.0279344,1.57919
-1.61104,0.0336558,1.67932,-0.0207768
-0.0272352,-1.64172,0.0231369,1.64574
-1.67754,0.0274209,1.74581,-0.0168737
-0.0225786,-1.70809,0.0183395,1.71229
-1.74405,0.0211859,1.81231,-0.0129705
-0.0179219,-1.77446,0.013542,1.77884
-1.81055,0.014951,1.8788,-0.00906732
-0.0132653,-1.84084,0.00874455,1.8454
-1.87706,0.00871605,1.94529,-0.00516415
-0.00860863,-1.90721,0.00394709,1.91195
